Year,Metric,Dimension,Category,Status,Source, Mean , SD , p10 , p25 , p50 , p75 , p90 , N 
2017,GVA per worker,3. Industry Section,Information Communication (J),Exporter,ABS," 70,500 "," 67,500 "," 14,000 "," 30,000 "," 54,000 "," 99,500 "," 132,500 "," 26,600 "
2018,GVA per worker,3. Industry Section,Information Communication (J),Exporter,ABS," 79,000 "," 67,500 "," 4,000 "," 25,000 "," 65,500 "," 127,000 "," 178,000 "," 28,600 "
2019,GVA per worker,3. Industry Section,Information Communication (J),Exporter,ABS," 88,000 "," 92,500 "," 14,500 "," 32,000 "," 57,000 "," 114,000 "," 234,500 "," 37,350 "
2020,GVA per worker,3. Industry Section,Information Communication (J),Exporter,ABS," 56,500 "," 56,500 "," 6,500 "," 23,000 "," 47,500 "," 72,000 "," 109,000 "," 34,600 "
2021,GVA per worker,3. Industry Section,Information Communication (J),Exporter,ABS," 66,000 "," 85,000 "," 2,000 "," 18,000 "," 49,500 "," 89,500 "," 158,500 "," 36,800 "
2022,GVA per worker,3. Industry Section,Information Communication (J),Exporter,ABS," 74,000 "," 70,000 "," 6,000 "," 27,000 "," 56,000 "," 103,000 "," 165,500 "," 47,750 "
2011,GVA per worker,3. Industry Section,Information Communication (J),Non-Exporter,ABS," 58,000 "," 55,000 "," 2,500 "," 18,000 "," 47,500 "," 81,500 "," 122,500 "," 95,400 "
2012,GVA per worker,3. Industry Section,Information Communication (J),Non-Exporter,ABS," 58,500 "," 51,500 "," 4,500 "," 20,000 "," 50,000 "," 88,000 "," 125,000 "," 103,500 "
2013,GVA per worker,3. Industry Section,Information Communication (J),Non-Exporter,ABS," 63,500 "," 63,500 "," 4,500 "," 21,000 "," 52,500 "," 91,000 "," 128,500 "," 128,200 "
2014,GVA per worker,3. Industry Section,Information Communication (J),Non-Exporter,ABS," 65,500 "," 56,500 "," 7,000 "," 24,000 "," 57,000 "," 93,500 "," 132,500 "," 142,050 "
2015,GVA per worker,3. Industry Section,Information Communication (J),Non-Exporter,ABS," 65,500 "," 54,500 "," 7,500 "," 27,000 "," 60,000 "," 92,500 "," 132,500 "," 158,050 "
2016,GVA per worker,3. Industry Section,Information Communication (J),Non-Exporter,ABS," 58,500 "," 50,500 "," 10,500 "," 24,500 "," 49,000 "," 73,500 "," 116,000 "," 149,450 "
2017,GVA per worker,3. Industry Section,Information Communication (J),Non-Exporter,ABS," 70,500 "," 70,000 "," 6,000 "," 26,000 "," 61,500 "," 103,500 "," 142,000 "," 161,250 "
2018,GVA per worker,3. Industry Section,Information Communication (J),Non-Exporter,ABS," 62,500 "," 50,500 "," 8,000 "," 26,000 "," 50,000 "," 90,000 "," 127,000 "," 150,850 "
2019,GVA per worker,3. Industry Section,Information Communication (J),Non-Exporter,ABS," 58,000 "," 45,000 "," 5,000 "," 22,500 "," 48,000 "," 89,500 "," 120,500 "," 162,750 "
2020,GVA per worker,3. Industry Section,Information Communication (J),Non-Exporter,ABS," 57,500 "," 57,000 "," 4,000 "," 19,000 "," 40,500 "," 75,000 "," 134,500 "," 148,100 "
2021,GVA per worker,3. Industry Section,Information Communication (J),Non-Exporter,ABS," 46,500 "," 51,000 ","-1,000 "," 12,000 "," 38,000 "," 67,000 "," 109,000 "," 137,200 "
2022,GVA per worker,3. Industry Section,Information Communication (J),Non-Exporter,ABS," 57,500 "," 51,000 "," 5,000 "," 24,500 "," 44,000 "," 85,500 "," 125,000 "," 116,250 "
2011,GVA per worker,3. Industry Section,Manufacturing (C),Exporter,ABS," 58,000 "," 57,500 "," 10,000 "," 26,000 "," 44,500 "," 73,500 "," 118,000 "," 29,400 "
2012,GVA per worker,3. Industry Section,Manufacturing (C),Exporter,ABS," 59,500 "," 56,500 "," 12,000 "," 26,000 "," 46,000 "," 73,500 "," 122,000 "," 28,500 "
2013,GVA per worker,3. Industry Section,Manufacturing (C),Exporter,ABS," 55,000 "," 54,000 "," 10,000 "," 22,500 "," 43,500 "," 73,000 "," 110,000 "," 30,750 "
2014,GVA per worker,3. Industry Section,Manufacturing (C),Exporter,ABS," 63,000 "," 102,000 "," 12,500 "," 26,500 "," 48,000 "," 73,000 "," 126,000 "," 29,250 "
2015,GVA per worker,3. Industry Section,Manufacturing (C),Exporter,ABS," 54,000 "," 57,000 "," 8,500 "," 23,500 "," 42,500 "," 68,500 "," 110,500 "," 30,350 "
2016,GVA per worker,3. Industry Section,Manufacturing (C),Exporter,ABS," 64,000 "," 85,500 "," 11,000 "," 27,000 "," 45,000 "," 77,500 "," 144,000 "," 30,550 "
2017,GVA per worker,3. Industry Section,Manufacturing (C),Exporter,ABS," 59,000 "," 68,500 "," 10,500 "," 29,000 "," 45,000 "," 71,000 "," 120,000 "," 30,900 "
2018,GVA per worker,3. Industry Section,Manufacturing (C),Exporter,ABS," 68,000 "," 227,500 "," 12,500 "," 29,000 "," 49,000 "," 79,500 "," 124,500 "," 30,700 "
2019,GVA per worker,3. Industry Section,Manufacturing (C),Exporter,ABS," 60,500 "," 61,500 "," 10,000 "," 27,000 "," 47,000 "," 75,500 "," 121,000 "," 30,850 "
2020,GVA per worker,3. Industry Section,Manufacturing (C),Exporter,ABS," 59,000 "," 104,000 "," 8,500 "," 22,000 "," 36,500 "," 67,000 "," 114,000 "," 32,200 "
2021,GVA per worker,3. Industry Section,Manufacturing (C),Exporter,ABS," 65,000 "," 64,000 "," 12,500 "," 29,500 "," 52,000 "," 79,000 "," 137,500 "," 30,150 "
2022,GVA per worker,3. Industry Section,Manufacturing (C),Exporter,ABS," 64,000 "," 75,500 "," 9,000 "," 24,500 "," 44,500 "," 81,500 "," 131,000 "," 27,250 "
2011,GVA per worker,3. Industry Section,Manufacturing (C),Non-Exporter,ABS," 38,500 "," 42,500 "," 4,500 "," 15,000 "," 29,500 "," 52,000 "," 80,500 "," 62,050 "
2012,GVA per worker,3. Industry Section,Manufacturing (C),Non-Exporter,ABS," 38,000 "," 40,000 "," 3,500 "," 14,000 "," 30,000 "," 52,000 "," 80,500 "," 66,150 "
2013,GVA per worker,3. Industry Section,Manufacturing (C),Non-Exporter,ABS," 40,500 "," 43,000 "," 4,500 "," 15,000 "," 32,500 "," 50,500 "," 82,000 "," 80,800 "
2014,GVA per worker,3. Industry Section,Manufacturing (C),Non-Exporter,ABS," 40,500 "," 63,500 "," 4,500 "," 15,000 "," 30,000 "," 51,000 "," 80,500 "," 82,200 "
2015,GVA per worker,3. Industry Section,Manufacturing (C),Non-Exporter,ABS," 54,000 "," 428,000 "," 4,500 "," 15,000 "," 32,500 "," 54,000 "," 87,000 "," 86,800 "
2016,GVA per worker,3. Industry Section,Manufacturing (C),Non-Exporter,ABS," 44,000 "," 82,000 "," 4,500 "," 16,000 "," 31,000 "," 53,500 "," 85,500 "," 88,400 "
2017,GVA per worker,3. Industry Section,Manufacturing (C),Non-Exporter,ABS," 44,500 "," 64,000 "," 6,500 "," 16,000 "," 32,000 "," 57,500 "," 85,000 "," 89,450 "
2018,GVA per worker,3. Industry Section,Manufacturing (C),Non-Exporter,ABS," 49,000 "," 82,000 "," 4,000 "," 16,000 "," 32,500 "," 57,000 "," 91,000 "," 84,750 "
2019,GVA per worker,3. Industry Section,Manufacturing (C),Non-Exporter,ABS," 40,000 "," 54,000 "," 6,500 "," 16,000 "," 31,500 "," 49,500 "," 80,000 "," 87,750 "
2020,GVA per worker,3. Industry Section,Manufacturing (C),Non-Exporter,ABS," 47,000 "," 92,000 "," 4,000 "," 13,500 "," 28,500 "," 53,000 "," 86,500 "," 89,050 "
2021,GVA per worker,3. Industry Section,Manufacturing (C),Non-Exporter,ABS," 44,000 "," 157,000 "," 2,000 "," 14,500 "," 32,000 "," 60,000 "," 93,000 "," 92,800 "
2022,GVA per worker,3. Industry Section,Manufacturing (C),Non-Exporter,ABS," 41,500 "," 40,000 "," 5,500 "," 16,500 "," 34,500 "," 58,000 "," 83,000 "," 92,700 "
2011,GVA per worker,3. Industry Section,Non-Manufacturing Production (ABDE),Exporter,ABS," 177,000 "," 1,126,000 ", [c] , [c] ," 34,500 ", [c] , [c] , 750 
2012,GVA per worker,3. Industry Section,Non-Manufacturing Production (ABDE),Exporter,ABS, [c] , [c] , [c] , [c] , [c] , [c] , [c] , [c] 
2013,GVA per worker,3. Industry Section,Non-Manufacturing Production (ABDE),Exporter,ABS, [c] , [c] , [c] , [c] , [c] , [c] , [c] , [c] 
2014,GVA per worker,3. Industry Section,Non-Manufacturing Production (ABDE),Exporter,ABS, [c] , [c] , [c] , [c] , [c] , [c] , [c] , [c] 
2015,GVA per worker,3. Industry Section,Non-Manufacturing Production (ABDE),Exporter,ABS," 262,500 "," 3,197,500 ", [c] ," 19,500 "," 46,000 "," 99,500 ", [c] ," 1,100 "
2016,GVA per worker,3. Industry Section,Non-Manufacturing Production (ABDE),Exporter,ABS," 289,000 "," 3,966,000 ", [c] ," 33,500 "," 37,000 "," 107,500 ", [c] , 850 
2017,GVA per worker,3. Industry Section,Non-Manufacturing Production (ABDE),Exporter,ABS," 447,500 "," 5,040,000 ", [c] ," 27,000 "," 47,000 "," 91,500 ", [c] , 600 
2018,GVA per worker,3. Industry Section,Non-Manufacturing Production (ABDE),Exporter,ABS," 232,000 "," 2,159,500 ", [c] ," 32,000 "," 64,500 "," 116,500 ", [c] , 750 
2019,GVA per worker,3. Industry Section,Non-Manufacturing Production (ABDE),Exporter,ABS," 207,500 "," 2,108,000 ", [c] ," 37,500 "," 65,500 "," 165,500 ", [c] , 950 
2020,GVA per worker,3. Industry Section,Non-Manufacturing Production (ABDE),Exporter,ABS," 358,000 "," 3,652,500 ", [c] ," 24,500 "," 78,000 "," 181,500 ", [c] , 900 
2021,GVA per worker,3. Industry Section,Non-Manufacturing Production (ABDE),Exporter,ABS," 299,500 "," 3,253,000 ", [c] ," 45,000 "," 109,000 "," 288,000 ", [c] ," 1,050 "
2022,GVA per worker,3. Industry Section,Non-Manufacturing Production (ABDE),Exporter,ABS," 362,500 "," 2,200,500 ", [c] ," 49,500 "," 200,000 "," 453,000 ", [c] , 950 
2011,GVA per worker,3. Industry Section,Non-Manufacturing Production (ABDE),Non-Exporter,ABS," 56,500 "," 389,000 ", [c] ," 8,000 "," 28,000 "," 60,000 ", [c] ," 4,500 "
2012,GVA per worker,3. Industry Section,Non-Manufacturing Production (ABDE),Non-Exporter,ABS, [c] , [c] , [c] , [c] , [c] , [c] , [c] , [c] 
2013,GVA per worker,3. Industry Section,Non-Manufacturing Production (ABDE),Non-Exporter,ABS, [c] , [c] , [c] , [c] , [c] , [c] , [c] , [c] 
2014,GVA per worker,3. Industry Section,Non-Manufacturing Production (ABDE),Non-Exporter,ABS, [c] , [c] , [c] , [c] , [c] , [c] , [c] , [c] 
2015,GVA per worker,3. Industry Section,Non-Manufacturing Production (ABDE),Non-Exporter,ABS," 97,500 "," 1,138,500 ", [c] ," 12,000 "," 39,500 "," 73,000 ", [c] ," 8,200 "
2016,GVA per worker,3. Industry Section,Non-Manufacturing Production (ABDE),Non-Exporter,ABS," 124,000 "," 744,000 "," 4,500 "," 20,500 "," 45,000 "," 104,500 "," 246,500 "," 9,450 "
2017,GVA per worker,3. Industry Section,Non-Manufacturing Production (ABDE),Non-Exporter,ABS," 174,000 "," 998,500 "," 6,500 "," 25,000 "," 43,500 "," 74,000 "," 149,500 "," 8,750 "
2018,GVA per worker,3. Industry Section,Non-Manufacturing Production (ABDE),Non-Exporter,ABS," 139,500 "," 4,406,500 "," 4,000 "," 18,500 "," 51,500 "," 133,500 "," 227,000 "," 10,500 "
2019,GVA per worker,3. Industry Section,Non-Manufacturing Production (ABDE),Non-Exporter,ABS," 253,000 "," 940,000 ","-8,500 "," 15,500 "," 46,500 "," 108,500 "," 417,000 "," 11,800 "
2020,GVA per worker,3. Industry Section,Non-Manufacturing Production (ABDE),Non-Exporter,ABS," 113,500 "," 928,000 ","-13,000 "," 12,500 "," 54,500 "," 128,500 "," 304,000 "," 9,600 "
2021,GVA per worker,3. Industry Section,Non-Manufacturing Production (ABDE),Non-Exporter,ABS," 591,000 "," 2,900,500 ", -   ," 19,000 "," 56,500 "," 154,500 "," 678,500 "," 11,700 "
2022,GVA per worker,3. Industry Section,Non-Manufacturing Production (ABDE),Non-Exporter,ABS," 168,000 "," 803,000 "," 14,500 "," 36,500 "," 73,000 "," 164,000 "," 329,000 "," 12,300 "
2011,GVA per worker,3. Industry Section,Other Services (RSTU),Exporter,ABS, [c] , [c] , [c] , [c] , [c] , [c] , [c] , [c] 
2012,GVA per worker,3. Industry Section,Other Services (RSTU),Exporter,ABS," 69,500 "," 86,500 "," 5,000 "," 19,500 "," 43,000 "," 92,500 "," 166,500 "," 11,900 "
2013,GVA per worker,3. Industry Section,Other Services (RSTU),Exporter,ABS, [c] , [c] , [c] , [c] , [c] , [c] , [c] , [c] 
2014,GVA per worker,3. Industry Section,Other Services (RSTU),Exporter,ABS, [c] , [c] , [c] , [c] , [c] , [c] , [c] , [c] 
2015,GVA per worker,3. Industry Section,Other Services (RSTU),Exporter,ABS," 59,500 "," 60,000 "," 8,000 "," 23,000 "," 43,000 "," 82,500 "," 139,500 "," 12,450 "
2016,GVA per worker,3. Industry Section,Other Services (RSTU),Exporter,ABS," 75,000 "," 90,000 "," 7,000 "," 22,500 "," 57,000 "," 91,500 "," 151,500 "," 12,750 "
2017,GVA per worker,3. Industry Section,Other Services (RSTU),Exporter,ABS," 63,500 "," 112,500 ",-500 ," 9,000 "," 44,500 "," 80,000 "," 193,000 "," 13,300 "
2018,GVA per worker,3. Industry Section,Other Services (RSTU),Exporter,ABS," 60,500 "," 63,500 "," 2,500 "," 16,500 "," 48,000 "," 79,000 "," 140,000 "," 12,100 "
2019,GVA per worker,3. Industry Section,Other Services (RSTU),Exporter,ABS," 76,000 "," 138,500 ", [c] ," 18,000 "," 46,500 "," 61,500 ", [c] ," 14,000 "
2020,GVA per worker,3. Industry Section,Other Services (RSTU),Exporter,ABS," 45,500 "," 43,500 ", [c] ," 16,000 "," 41,000 "," 61,000 ", [c] ," 10,000 "
2021,GVA per worker,3. Industry Section,Other Services (RSTU),Exporter,ABS," 77,500 "," 74,000 "," 5,500 "," 28,000 "," 48,000 "," 104,000 "," 194,500 "," 13,250 "
2022,GVA per worker,3. Industry Section,Other Services (RSTU),Exporter,ABS," 68,500 "," 73,000 "," 6,500 "," 18,000 "," 46,000 "," 94,500 "," 141,000 "," 11,600 "
2011,GVA per worker,3. Industry Section,Other Services (RSTU),Non-Exporter,ABS, [c] , [c] , [c] , [c] , [c] , [c] , [c] , [c] 
2012,GVA per worker,3. Industry Section,Other Services (RSTU),Non-Exporter,ABS," 32,000 "," 52,500 ","-1,000 "," 8,500 "," 21,000 "," 41,500 "," 72,500 "," 100,800 "
2013,GVA per worker,3. Industry Section,Other Services (RSTU),Non-Exporter,ABS, [c] , [c] , [c] , [c] , [c] , [c] , [c] , [c] 
2014,GVA per worker,3. Industry Section,Other Services (RSTU),Non-Exporter,ABS, [c] , [c] , [c] , [c] , [c] , [c] , [c] , [c] 
2015,GVA per worker,3. Industry Section,Other Services (RSTU),Non-Exporter,ABS," 33,000 "," 53,000 ","-1,000 "," 8,500 "," 20,000 "," 40,500 "," 81,000 "," 118,600 "
2016,GVA per worker,3. Industry Section,Other Services (RSTU),Non-Exporter,ABS," 32,500 "," 43,500 ","-3,000 "," 9,000 "," 22,000 "," 49,000 "," 83,000 "," 119,250 "
2017,GVA per worker,3. Industry Section,Other Services (RSTU),Non-Exporter,ABS," 28,500 "," 43,000 ","-3,000 "," 9,000 "," 20,000 "," 40,500 "," 69,000 "," 130,150 "
2018,GVA per worker,3. Industry Section,Other Services (RSTU),Non-Exporter,ABS," 33,500 "," 49,500 ","-3,500 "," 8,500 "," 20,000 "," 43,000 "," 93,500 "," 129,350 "
2019,GVA per worker,3. Industry Section,Other Services (RSTU),Non-Exporter,ABS," 29,000 "," 47,500 ","-1,500 "," 6,500 "," 17,500 "," 35,500 "," 66,000 "," 136,150 "
2020,GVA per worker,3. Industry Section,Other Services (RSTU),Non-Exporter,ABS," 20,000 "," 34,500 ","-4,000 "," 3,000 "," 11,500 "," 29,000 "," 49,000 "," 127,600 "
2021,GVA per worker,3. Industry Section,Other Services (RSTU),Non-Exporter,ABS," 24,500 "," 77,000 ","-4,000 "," 4,000 "," 12,500 "," 26,500 "," 61,000 "," 141,000 "
2022,GVA per worker,3. Industry Section,Other Services (RSTU),Non-Exporter,ABS," 29,000 "," 37,500 ",-500 ," 9,000 "," 20,000 "," 38,500 "," 64,000 "," 145,500 "
2011,GVA per worker,3. Industry Section,"Real Estate, Professional and Business Support Services (LMN)",Exporter,ABS," 80,500 "," 89,000 "," 8,500 "," 30,500 "," 59,000 "," 106,500 "," 166,500 "," 52,650 "
2012,GVA per worker,3. Industry Section,"Real Estate, Professional and Business Support Services (LMN)",Exporter,ABS," 84,500 "," 94,000 "," 9,500 "," 29,500 "," 59,000 "," 101,500 "," 176,500 "," 62,350 "
2013,GVA per worker,3. Industry Section,"Real Estate, Professional and Business Support Services (LMN)",Exporter,ABS," 83,500 "," 93,000 "," 9,000 "," 29,000 "," 57,000 "," 104,500 "," 184,000 "," 72,550 "
2014,GVA per worker,3. Industry Section,"Real Estate, Professional and Business Support Services (LMN)",Exporter,ABS," 88,500 "," 100,000 "," 12,500 "," 35,000 "," 63,000 "," 112,000 "," 190,500 "," 76,950 "
2015,GVA per worker,3. Industry Section,"Real Estate, Professional and Business Support Services (LMN)",Exporter,ABS," 83,000 "," 82,000 "," 13,000 "," 32,000 "," 61,500 "," 104,500 "," 176,500 "," 73,150 "
2016,GVA per worker,3. Industry Section,"Real Estate, Professional and Business Support Services (LMN)",Exporter,ABS," 122,500 "," 267,500 "," 4,500 "," 21,500 "," 51,000 "," 105,000 "," 188,000 "," 66,900 "
2017,GVA per worker,3. Industry Section,"Real Estate, Professional and Business Support Services (LMN)",Exporter,ABS," 89,500 "," 107,000 "," 17,500 "," 36,500 "," 56,500 "," 97,500 "," 189,000 "," 80,850 "
2018,GVA per worker,3. Industry Section,"Real Estate, Professional and Business Support Services (LMN)",Exporter,ABS," 72,500 "," 80,500 "," 10,000 "," 28,500 "," 45,500 "," 91,500 "," 144,500 "," 72,650 "
2019,GVA per worker,3. Industry Section,"Real Estate, Professional and Business Support Services (LMN)",Exporter,ABS," 106,500 "," 325,000 "," 8,500 "," 32,500 "," 59,000 "," 91,000 "," 156,000 "," 89,400 "
2020,GVA per worker,3. Industry Section,"Real Estate, Professional and Business Support Services (LMN)",Exporter,ABS," 64,500 "," 70,000 "," 9,000 "," 22,500 "," 48,500 "," 77,500 "," 156,000 "," 87,950 "
2021,GVA per worker,3. Industry Section,"Real Estate, Professional and Business Support Services (LMN)",Exporter,ABS," 79,000 "," 115,000 "," 3,000 "," 21,500 "," 44,000 "," 106,000 "," 169,500 "," 83,250 "
2022,GVA per worker,3. Industry Section,"Real Estate, Professional and Business Support Services (LMN)",Exporter,ABS," 79,000 "," 71,500 "," 11,500 "," 34,500 "," 60,500 "," 99,000 "," 150,000 "," 86,450 "
2011,GVA per worker,3. Industry Section,"Real Estate, Professional and Business Support Services (LMN)",Non-Exporter,ABS," 56,000 "," 75,000 "," 4,000 "," 16,500 "," 39,000 "," 73,500 "," 122,000 "," 368,500 "
2012,GVA per worker,3. Industry Section,"Real Estate, Professional and Business Support Services (LMN)",Non-Exporter,ABS," 57,000 "," 68,500 "," 5,000 "," 16,500 "," 40,000 "," 76,000 "," 124,000 "," 430,400 "
2013,GVA per worker,3. Industry Section,"Real Estate, Professional and Business Support Services (LMN)",Non-Exporter,ABS," 62,000 "," 87,000 "," 5,000 "," 18,000 "," 43,500 "," 78,500 "," 131,000 "," 483,350 "
2014,GVA per worker,3. Industry Section,"Real Estate, Professional and Business Support Services (LMN)",Non-Exporter,ABS," 63,000 "," 78,000 "," 6,000 "," 19,500 "," 44,500 "," 80,500 "," 136,000 "," 520,650 "
2015,GVA per worker,3. Industry Section,"Real Estate, Professional and Business Support Services (LMN)",Non-Exporter,ABS," 60,000 "," 75,500 "," 6,000 "," 18,500 "," 42,000 "," 77,500 "," 127,000 "," 556,600 "
2016,GVA per worker,3. Industry Section,"Real Estate, Professional and Business Support Services (LMN)",Non-Exporter,ABS," 49,500 "," 55,500 "," 5,500 "," 15,000 "," 34,500 "," 65,500 "," 114,000 "," 632,700 "
2017,GVA per worker,3. Industry Section,"Real Estate, Professional and Business Support Services (LMN)",Non-Exporter,ABS," 49,500 "," 53,000 "," 6,500 "," 17,500 "," 39,000 "," 68,500 "," 100,500 "," 607,400 "
2018,GVA per worker,3. Industry Section,"Real Estate, Professional and Business Support Services (LMN)",Non-Exporter,ABS," 53,500 "," 63,500 "," 7,000 "," 17,500 "," 38,000 "," 67,500 "," 112,500 "," 586,250 "
2019,GVA per worker,3. Industry Section,"Real Estate, Professional and Business Support Services (LMN)",Non-Exporter,ABS," 54,000 "," 67,000 "," 5,500 "," 16,000 "," 37,000 "," 71,500 "," 116,000 "," 609,750 "
2020,GVA per worker,3. Industry Section,"Real Estate, Professional and Business Support Services (LMN)",Non-Exporter,ABS," 44,500 "," 56,500 "," 2,000 "," 12,000 "," 28,000 "," 60,000 "," 102,500 "," 569,900 "
2021,GVA per worker,3. Industry Section,"Real Estate, Professional and Business Support Services (LMN)",Non-Exporter,ABS," 48,500 "," 83,500 "," 2,000 "," 11,500 "," 31,500 "," 61,000 "," 110,000 "," 613,000 "
2022,GVA per worker,3. Industry Section,"Real Estate, Professional and Business Support Services (LMN)",Non-Exporter,ABS," 56,000 "," 76,000 "," 3,500 "," 16,500 "," 39,000 "," 70,500 "," 119,000 "," 592,350 "
2011,GVA per worker,3. Industry Section,"Transport, Accommodation and Food Services (HI)",Exporter,ABS, [c] , [c] , [c] , [c] , [c] , [c] , [c] , [c] 
2012,GVA per worker,3. Industry Section,"Transport, Accommodation and Food Services (HI)",Exporter,ABS, [c] , [c] , [c] , [c] , [c] , [c] , [c] , [c] 
2013,GVA per worker,3. Industry Section,"Transport, Accommodation and Food Services (HI)",Exporter,ABS," 85,500 "," 186,000 "," 1,500 "," 17,500 "," 45,500 "," 85,000 "," 187,000 "," 5,550 "
2014,GVA per worker,3. Industry Section,"Transport, Accommodation and Food Services (HI)",Exporter,ABS," 89,500 "," 229,000 "," 10,500 "," 23,000 "," 48,500 "," 96,000 "," 177,500 "," 6,900 "
2015,GVA per worker,3. Industry Section,"Transport, Accommodation and Food Services (HI)",Exporter,ABS," 88,500 "," 153,000 "," 10,500 "," 21,000 "," 47,000 "," 99,000 "," 172,000 "," 5,650 "
2016,GVA per worker,3. Industry Section,"Transport, Accommodation and Food Services (HI)",Exporter,ABS," 55,500 "," 62,500 ","-9,500 "," 11,000 "," 40,000 "," 74,000 "," 142,000 "," 6,700 "
2017,GVA per worker,3. Industry Section,"Transport, Accommodation and Food Services (HI)",Exporter,ABS," 93,500 "," 101,000 "," 8,500 "," 26,500 "," 56,500 "," 123,500 "," 271,000 "," 4,600 "
2018,GVA per worker,3. Industry Section,"Transport, Accommodation and Food Services (HI)",Exporter,ABS," 74,000 "," 150,000 "," 1,000 "," 9,000 "," 38,000 "," 85,500 "," 167,500 "," 6,200 "
2019,GVA per worker,3. Industry Section,"Transport, Accommodation and Food Services (HI)",Exporter,ABS," 34,000 "," 36,500 "," 7,500 "," 13,500 "," 27,500 "," 40,000 "," 76,500 "," 13,500 "
2020,GVA per worker,3. Industry Section,"Transport, Accommodation and Food Services (HI)",Exporter,ABS," 53,000 "," 61,000 "," 5,500 "," 7,000 "," 32,500 "," 91,000 "," 109,500 "," 5,650 "
2021,GVA per worker,3. Industry Section,"Transport, Accommodation and Food Services (HI)",Exporter,ABS," 74,500 "," 156,000 "," 12,500 "," 14,000 "," 35,500 "," 71,000 "," 185,000 "," 8,250 "
2022,GVA per worker,3. Industry Section,"Transport, Accommodation and Food Services (HI)",Exporter,ABS," 72,500 "," 95,000 "," 21,500 "," 29,500 "," 35,500 "," 59,000 "," 194,500 "," 9,600 "
2011,GVA per worker,3. Industry Section,"Transport, Accommodation and Food Services (HI)",Non-Exporter,ABS, [c] , [c] , [c] , [c] , [c] , [c] , [c] , [c] 
2012,GVA per worker,3. Industry Section,"Transport, Accommodation and Food Services (HI)",Non-Exporter,ABS, [c] , [c] , [c] , [c] , [c] , [c] , [c] , [c] 
2013,GVA per worker,3. Industry Section,"Transport, Accommodation and Food Services (HI)",Non-Exporter,ABS," 31,500 "," 70,000 "," 5,500 "," 12,500 "," 22,000 "," 39,000 "," 64,000 "," 167,400 "
2014,GVA per worker,3. Industry Section,"Transport, Accommodation and Food Services (HI)",Non-Exporter,ABS," 32,000 "," 49,500 "," 6,000 "," 12,000 "," 20,500 "," 36,500 "," 64,500 "," 172,250 "
2015,GVA per worker,3. Industry Section,"Transport, Accommodation and Food Services (HI)",Non-Exporter,ABS," 30,500 "," 47,000 "," 5,500 "," 11,500 "," 21,000 "," 35,500 "," 58,500 "," 189,950 "
2016,GVA per worker,3. Industry Section,"Transport, Accommodation and Food Services (HI)",Non-Exporter,ABS," 23,500 "," 28,000 "," 4,000 "," 9,000 "," 17,000 "," 30,000 "," 50,000 "," 196,100 "
2017,GVA per worker,3. Industry Section,"Transport, Accommodation and Food Services (HI)",Non-Exporter,ABS," 24,000 "," 24,500 "," 4,500 "," 10,000 "," 18,000 "," 30,000 "," 50,500 "," 209,900 "
2018,GVA per worker,3. Industry Section,"Transport, Accommodation and Food Services (HI)",Non-Exporter,ABS," 24,000 "," 34,500 "," 5,000 "," 8,500 "," 15,000 "," 25,500 "," 53,500 "," 210,200 "
2019,GVA per worker,3. Industry Section,"Transport, Accommodation and Food Services (HI)",Non-Exporter,ABS," 23,000 "," 29,500 "," 3,000 "," 8,000 "," 15,500 "," 30,500 "," 52,000 "," 234,750 "
2020,GVA per worker,3. Industry Section,"Transport, Accommodation and Food Services (HI)",Non-Exporter,ABS," 22,500 "," 38,000 "," 1,000 "," 6,500 "," 14,000 "," 28,000 "," 41,500 "," 234,250 "
2021,GVA per worker,3. Industry Section,"Transport, Accommodation and Food Services (HI)",Non-Exporter,ABS," 24,500 "," 32,500 "," 3,000 "," 8,500 "," 17,500 "," 32,000 "," 49,000 "," 254,100 "
2022,GVA per worker,3. Industry Section,"Transport, Accommodation and Food Services (HI)",Non-Exporter,ABS," 25,500 "," 33,000 "," 3,000 "," 8,500 "," 15,500 "," 31,500 "," 54,000 "," 247,550 "
2011,GVA per worker,3. Industry Section,Wholesale and Retail (G),Exporter,ABS," 67,500 "," 86,000 "," 1,500 "," 16,500 "," 45,000 "," 87,500 "," 156,000 "," 54,150 "
2012,GVA per worker,3. Industry Section,Wholesale and Retail (G),Exporter,ABS," 65,500 "," 86,000 ","-1,500 "," 12,500 "," 45,000 "," 87,000 "," 158,500 "," 56,150 "
2013,GVA per worker,3. Industry Section,Wholesale and Retail (G),Exporter,ABS," 72,000 "," 101,000 ", -   ," 15,000 "," 43,500 "," 90,500 "," 167,000 "," 59,950 "
2014,GVA per worker,3. Industry Section,Wholesale and Retail (G),Exporter,ABS," 76,500 "," 103,500 ", -   ," 19,500 "," 49,000 "," 100,500 "," 180,000 "," 50,800 "
2015,GVA per worker,3. Industry Section,Wholesale and Retail (G),Exporter,ABS," 67,500 "," 91,500 "," 1,000 "," 15,000 "," 44,000 "," 88,500 "," 154,000 "," 56,300 "
2016,GVA per worker,3. Industry Section,Wholesale and Retail (G),Exporter,ABS," 60,000 "," 71,500 ", -   ," 13,500 "," 45,500 "," 79,000 "," 128,000 "," 53,150 "
2017,GVA per worker,3. Industry Section,Wholesale and Retail (G),Exporter,ABS," 69,500 "," 99,500 "," 5,000 "," 18,500 "," 40,500 "," 78,000 "," 162,000 "," 53,950 "
